Timestamp,What programming language(s) are you using in production?,What programming languages you stopped using,What programming language(s) are you using in your hobby/side projects?,,Do you attend any user groups (about programming or software development),Are you based in Ireland?
06/05/2014 08:13:00,"Java, Javascript, Objective C",,"Javascript, Objective C",,yes,Yes
06/05/2014 08:14:47,"C#, Javascript",Python,"C++, Java",,no,Yes
06/05/2014 08:17:02,"C#, Javascript, Python",,"C#, Go, Rust",,yes,Yes
06/05/2014 08:17:08,Python,perl,"Javascript, Python",,yes,Yes
06/05/2014 08:17:27,"C++, C#, Javascript","Java,Eiffel,Prolog","C#, F#,Haskell",,yes,Yes
06/05/2014 08:17:47,"Javascript, Python, erlang","C, C++",,,yes,Yes
06/05/2014 08:17:56,"C#, Java, Javascript, Python",Perl,"Javascript, Python",,yes,Yes
06/05/2014 08:19:33,"C#, Javascript","c++, java","Javascript, Python",,yes,Yes
06/05/2014 08:19:36,"Javascript, Ruby","C, C++, Java, PHP, BASIC :P","Javascript, Ruby",,yes,Yes
06/05/2014 08:19:41,"Java, Javascript, Objective C, Groovy, Actionscript","C,C++,Perl,Scala","Java, Javascript, Python, Groovy, Actionscript, Haxe",,yes,Yes
06/05/2014 08:20:13,"Java, Objective C",C#,Ruby,,yes,Yes
06/05/2014 08:20:17,"C#, Javascript, Ruby",None,"Python, Clojure,Go,Python, LISP, Scala",,yes,Yes
06/05/2014 16:20:49,"C++, C#",,"Javascript, Python, F#",,yes,Yes
06/05/2014 16:23:05,"Javascript, Python","php, java","Javascript, Python",,yes,Yes
06/05/2014 16:27:20,Java,"BASIC, Pascal","C, C++, Javascript, Python, Groovy",,yes,Yes
06/05/2014 16:28:32,"C#, Java",,"C#, Java, Python, Php",,yes,Yes
06/05/2014 16:29:27,"C, C++, Java, Erlang",,,,no,Yes
06/05/2014 16:29:53,"C#, Java",,C#,,no,Yes
06/05/2014 16:31:09,"C#, Java, Javascript, Php",C,"C#, Java, Python",,no,Yes
06/05/2014 16:31:12,"C++, C#, Javascript, Objective C",Java,"C, C++, C#, Javascript, Objective C",,no,Yes
06/05/2014 16:31:53,Python,PHP,Python,,yes,Yes
06/05/2014 16:32:08,"Javascript, Python, Bash","Java, C","Javascript, Python, Php",,yes,Yes
06/05/2014 16:33:13,"C#, Python, F#, powershell","Delphi, pascal, VisualBasic","C#, Lua, python, F#, prolog, clojure",,yes,Yes
06/05/2014 16:34:55,"C#, Javascript",,"C#, Javascript, Python",,no,Yes
06/05/2014 16:36:21,"C#, Javascript, VB.Net",,"C#, Javascript",,no,Yes
06/05/2014 16:37:26,"C#, Lua","perl,","Java, Javascript, Php, html",,yes,Yes
06/05/2014 16:41:24,"C, C#, Ruby",VB,"C, C#, Objective C, Ruby",,yes,Yes
06/05/2014 16:47:14,"C, C++, Java, Javascript, Python",,"C, C++, C#, Java, Javascript, Python, Objective C",,yes,Yes
06/05/2014 16:50:01,"C++, Java, Javascript",Perl,"Java, Javascript",,yes,Yes
06/05/2014 16:51:54,"Java, Objective C, Ruby","C++ Curse Its Black Heart, Perl, Tcl","C, Objective C, Ruby, Go, Elixir",,yes,Yes
06/05/2014 16:52:47,"Java, Javascript, Python",,"C++, C#, Java, Javascript",,no,Yes
06/05/2014 16:52:43,"Javascript, Php",,"Javascript, Rails",,yes,Yes
06/05/2014 16:53:25,"Javascript, Python","PHP, C++, Java","Javascript, Python",,yes,Yes
06/05/2014 16:53:37,"Javascript, Php",,,,no,Yes
06/05/2014 16:53:53,Objective C,"Java,C++","Javascript, Php, Objective C",,yes,Yes
06/05/2014 16:54:49,C#,,Haskell,,no,Yes
06/05/2014 16:56:20,"Java, Javascript, Python","C#, VB.NET","Java, Python, Clojure",,no,Yes
06/05/2014 16:56:26,C++,,"R, Julia",,yes,Yes
06/05/2014 17:00:37,"C++, C#","java, pascal, vb","C#, Php",,yes,Yes
06/05/2014 17:01:41,AS3 ( Flash ActionScript 3 ),Lingo ( Director / Shockwave ),,,yes,Yes
06/05/2014 17:06:08,"C#, Javascript","PHP, Java","Javascript, Python, Haskell",,yes,Yes
06/05/2014 17:08:59,"C#, Java, Javascript, Objective C",,"C#, Javascript, Objective C",,no,Yes
06/05/2014 17:15:53,"C#, Java, Javascript",C#,Clojure,,yes,Yes
06/05/2014 17:20:07,"Javascript, Php",ASP / ASP.NET / PERL,"Javascript, Php",,yes,Yes
06/05/2014 17:23:19,"Java, Javascript",,"C, C++, C#, Java, Javascript",,no,Yes
06/05/2014 17:24:00,Python,"Perl, Pascal, C, Java, Php","C++, Python",,yes,Yes
06/05/2014 17:25:12,"Java, Python",,"Java, Javascript, Python, Objective C",,no,Yes
06/05/2014 17:27:00,"C++, Python",,C++,,no,Yes
06/05/2014 17:28:05,C#,delphi,"C#, Javascript, rem objects c#, free pascal",,no,Yes
06/05/2014 17:30:26,"C, C++, C#, Java, Javascript, Php",N/A,"C#, Java, Javascript, Php",,no,Yes
06/05/2014 17:30:26,"C#, Javascript, Delphi, Visual Basic","Blitz3D, BlitzMax",C#,,no,Yes
06/05/2014 17:30:48,"Java, Python",,"Java, Python",,yes,Yes
06/05/2014 17:31:31,"C#, Python",,C#,,yes,Yes
06/05/2014 17:33:49,Python,"C#, Java, VB6","C, C++, Python",,yes,Yes
06/05/2014 17:36:45,"Javascript, Php, Ruby",PHP,"Javascript, Objective C, Ruby",,yes,Yes
06/05/2014 17:37:26,"Java, Javascript",,"C#, Java, Javascript, Php, Objective C",,yes,Yes
06/05/2014 17:38:01,"C++, Python",,Python,,no,Yes
06/05/2014 17:38:18,"Javascript, Ruby, Coffeescript",Java,"Ruby, Coffeescript",,yes,Yes
06/05/2014 17:40:23,"C, C++, Objective C",Java,,,no,Yes
06/05/2014 17:40:29,"C, C++, Python",,"C, C++, Python",,yes,Yes
06/05/2014 17:42:17,"C#, Java, Javascript",,"C++, C#, Java",,no,Yes
06/05/2014 17:43:57,"Javascript, Python","Python, ruby, java, c, c++","Javascript, Haskell, rust ",,yes,Yes
06/05/2014 17:45:03,"C#, Java, Javascript, Php, Objective C",ASP,"Javascript, Php, Objective C",,yes,Yes
06/05/2014 17:45:23,"C++, C#, Javascript, Php",,"C++, C#, Javascript",,no,Yes
06/05/2014 17:46:25,"Javascript, Ruby",,"Javascript, Ruby",,yes,Yes
06/05/2014 17:47:15,"C++, Python",Java,"C, Python, Go",,yes,Yes
06/05/2014 17:49:37,"Javascript, Python","Ruby, Java","Python, Haskell, Rust",,yes,Yes
06/05/2014 17:50:13,"C#, Java, Javascript, Python",,"Javascript, Python",,yes,Yes
06/05/2014 17:50:09,"Python, Ruby",PHP,"Java, Javascript, Python, HTML",,yes,Yes
06/05/2014 17:59:58,"C, Java, Objective C",,"C, Java, Python, Objective C",,no,Yes
06/05/2014 18:03:25,"Java, Python",haskell js prolog assembly,"C, C++, Python",,yes,Yes
06/05/2014 18:03:38,"C, Perl",Visual Basic,C,,no,Yes
06/05/2014 18:09:24,"Javascript, Php","C, java, vbscript","Javascript, Php",,yes,Yes
06/05/2014 18:12:00,"C++, C#, Java, Javascript, Python",,C#,,yes,Yes
06/05/2014 18:46:35,"C, C++, Java",,"C, C++",,no,Yes
06/05/2014 18:57:13,"Javascript, Python",,"Javascript, Python, Ruby, Racket, Erlang, Elixir",,yes,Yes
06/05/2014 18:58:07,"C, C++, Python",ruby,Python,,no,Yes
06/05/2014 19:05:31,"C#, Javascript, Php",Java,"C#, Javascript, Python, Php",,no,Yes
06/05/2014 19:08:25,"Javascript, Python, Php","perl, php (where possible)",Python,,no,Yes
06/05/2014 19:22:01,"C++, C#, Java, Javascript, Python, Php, Ruby",C++,"C#, Java, Javascript, Python, Php",,no,Yes
06/05/2014 19:24:03,"C#, Python","C, c++, visual basic",Python,,no,Yes
06/05/2014 19:41:27,"C++, Python, Erlang",,Python,,yes,Yes
06/05/2014 19:43:35,"Javascript, Erlang, Ruby",Java,Python,,yes,Yes
06/05/2014 19:46:42,"Javascript, Python",Java,Python,,yes,Yes
06/05/2014 19:51:16,"Javascript, Php",,Php,,yes,Yes
06/05/2014 19:52:19,"C#, Javascript, Objective C","VB, LUA","C++, C#",,no,Yes
06/05/2014 20:09:35,"C++, C#, Javascript, Php",,"Javascript, Php, Objective C",,yes,Yes
06/05/2014 20:09:30,"C++, C#, Javascript, Php",,"Javascript, Php, Objective C",,yes,Yes
06/05/2014 20:21:43,C#,,"C++, C#",,no,Yes
06/05/2014 20:28:18,"Javascript, Php","Ruby, VB.net, VB","Javascript, Python, Php",,no,Yes
06/05/2014 20:29:35,"C, C++, C#, Java",none,none,,no,Yes
06/05/2014 20:48:46,"Java, Javascript, Python, Objective C",,"Java, Python, Objective C",,no,Yes
06/05/2014 21:16:49,"C#, Javascript, F# for tests",C++,"C#, Javascript, F#",,yes,Yes
06/05/2014 21:26:06,Python,"javascript, VB",,,no,Yes
06/05/2014 21:43:17,"Python, Objective C",PHP,"Python, Objective C",,yes,Yes
06/05/2014 21:57:00,"C, go,perl,sql","cobol,modula-2,miranda,c++,java,pascal,ruby,eiffel,x86 assembler,z80 assembler,sparc assembler","C, Python, go,perl,sql",,yes,Yes
06/05/2014 22:14:47,"C, C++, C#, Python",Java,C#,,no,Yes
06/05/2014 22:18:48,"Javascript, Python",,"Javascript, Python, clojure",,yes,Yes
06/05/2014 22:54:58,"Java, Javascript, Ruby",C#,"Javascript, Ruby",,yes,Yes
06/05/2014 22:59:01,"Java, Objective C",vb.net,"C, Java, Objective C",,no,Yes
06/05/2014 22:59:26,"Javascript, Php, Objective C",,"Javascript, Php, Objective C",,no,Yes
06/05/2014 23:04:20,"Python, Clojure",Java,"C++, Python, Clojure",,yes,Yes
06/05/2014 23:08:24,"Java, Python, ruby","pascal, visual basic, c, c++","Python, ruby",,no,Yes
06/05/2014 23:42:07,"C#, Javascript, vb6",,"Javascript, f#,clojure",,yes,Yes
06/05/2014 23:46:02,Javascript,Java,"C#, Javascript, Php",,no,Yes
07/05/2014 00:03:28,"C#, Java",Vb,,,no,Yes
07/05/2014 00:06:38,C,vb,"C, Java, Python",,no,Yes
07/05/2014 00:12:56,"Javascript, Ruby",PHP,"Javascript, Objective C, Ruby",,yes,Yes
07/05/2014 00:39:34,"C++, Javascript, Python, Php",,"C, C++, Javascript, Php",,no,Yes
07/05/2014 00:41:22,C#,,C#,,no,Yes
07/05/2014 00:46:34,"C, C++, Javascript, Python, Php, Go",PHP,"C++, Python, Go, Rust",,yes,Yes
07/05/2014 01:18:32,"C#, Java, Javascript",,Java,,no,Yes
07/05/2014 01:26:46,"Java, Perl, in-house delphi-alike",C++,"Javascript, Php, Perl, Ruby",,no,Yes
07/05/2014 06:42:50,"Javascript, Objective C, Ruby",,"Javascript, Objective C, Ruby",,yes,Yes
07/05/2014 06:55:33,"Javascript, Php","Python, basic, vhdl, C, verilog, perl, pascal",Javascript,,yes,Yes
07/05/2014 07:03:47,"Javascript, Php",java,"Javascript, Php",,yes,Yes
07/05/2014 08:22:29,"C, Python, XC8, Assembly","Visual Basic, OPL","C, C++, Java, Javascript, Python, Php, XC8, Assembly, Wiring, Haskell",,no,Yes
07/05/2014 08:28:44,"Javascript, Php, PL/SQL",ruby,"Javascript, Php",,yes,Yes
07/05/2014 08:47:45,"C#, Javascript","Cobol, Vb","C#, Javascript, Objective C, Ruby, Go",,yes,Yes
07/05/2014 09:58:11,"C, C++",,"Java, Python",,yes,Yes
07/05/2014 10:19:26,"Javascript, Ruby",,"Javascript, Ruby, Clojure",,yes,Yes
07/05/2014 11:50:40,"C#, Javascript",,"C#, Javascript",,yes,Yes
07/05/2014 11:53:10,"Ruby, Actionscript",,,,yes,Yes
07/05/2014 11:54:21,"C#,Python,php",,C#,,yes,Yes
07/05/2014 12:55:19,"C#, Javascript","lisp,VB.net,prolog,java","C#, Javascript, Python",,yes,Yes
07/05/2014 14:07:07,"Java, Javascript, Python",,"Javascript, ruby, r package, glpk",,yes,Yes
07/05/2014 14:07:58,"Java, Javascript",C,"C++, Java, Python",,yes,Yes
07/05/2014 14:11:04,"C#, Javascript","Java, VB","C#, Javascript",,yes,Yes
07/05/2014 14:13:37,"Javascript, Python",Java,"Javascript, Python",,no,Yes
07/05/2014 14:18:27,"C#, Php","Perl, C++, ActionScript","C#, Javascript, Php",,yes,Yes
07/05/2014 14:20:24,"Javascript, Php, actionscript","c++, c#, Objective C","Javascript, actionscript",,no,Yes
07/05/2014 14:21:09,"C#, Php",Java,"C#, Java, Php",,yes,Yes
07/05/2014 14:27:46,"Javascript, Python, Php",C/C++,"Javascript, Python, Haskell, Erlang",,no,Yes
07/05/2014 14:31:03,"Java, Objective C, Ruby",,"Clojure, Ruby",,no,Yes
07/05/2014 14:33:37,Php,,"Javascript, Python",,no,Yes
07/05/2014 14:38:23,"C#, Java, Javascript, Objective C, ruby",perl,"Java, Javascript, Objective C, ruby",,no,Yes
07/05/2014 14:41:50,"Java, Python",,"C++, C#, Java, Python",,no,Yes
07/05/2014 14:42:28,"Java, Javascript, Ruby",php,"Java, Python, Ruby",,yes,Yes
07/05/2014 14:45:30,"Javascript, Php, Objective C",,Objective C,,no,Yes
07/05/2014 14:48:33,"C#, Javascript","java, lua","C#, Java, Javascript, lua, html",,yes,Yes
07/05/2014 15:15:51,"C++, C#, Javascript, Objective C",C/C++,"Javascript, Python, Haskell",,no,Yes
07/05/2014 15:23:39,"Javascript, Python","C#, Lua","Python, Elixir",,yes,Yes
07/05/2014 15:32:32,"Javascript, Python",c#,"Javascript, Python",,yes,Yes
07/05/2014 15:39:40,"Javascript, Python","C#,Delphi","C++, Javascript, Python, Php",,no,Yes
07/05/2014 15:42:20,"C#, Javascript, Powershell, AutoHotkey",,"C#, Javascript",,yes,Yes
07/05/2014 15:57:14,"C#, Javascript, typescript",Java,"C#, Javascript, Php, typescript",,yes,Yes
07/05/2014 16:57:29,"C#, Java, Php, Ruby",none,"C#, Java",,no,Yes
07/05/2014 17:23:30,"C, C++, C#, Java, Javascript",,Javascript,,yes,Yes
07/05/2014 19:48:53,"Cobol, JCL",,"C#, Python",,no,Yes
07/05/2014 21:07:07,"C#, Javascript, SQL",,Javascript,,yes,Yes
07/05/2014 22:31:03,C#,php,C#,,no,Yes
07/05/2014 23:12:27,"C, Objective C, Assembly","C#,D,ruby","Javascript, Python, bash,xhtml,assembly",,no,Yes
08/05/2014 06:52:45,Python,,"Javascript, Python",,yes,Yes
09/05/2014 09:23:49,C#,,,,no,Yes
09/05/2014 12:19:16,"C#, Javascript, VB.NET, SQL",,"C#, Javascript",,no,Yes
09/05/2014 12:28:10,"C#, Javascript",Objective C,"C#, Javascript",,yes,Yes
09/05/2014 12:34:39,Java,ruby  ,"C++, Java, Javascript, Php",,no,Yes
09/05/2014 12:38:54,"C, Java, Javascript, Gosu",PHP,"Javascript, Python",,yes,Yes
09/05/2014 12:52:33,"Javascript, Python, Php, bash",,"C++, Javascript, Python, Php",,no,Yes
09/05/2014 12:53:06,"Java, Javascript, Python",,Javascript,,yes,Yes
09/05/2014 12:53:13,"C++, Java",Php,"C, Java, Javascript, Python, Arduino, perl",,yes,Yes
09/05/2014 13:09:54,"C, C++, Python",java,"C++, Python, Php",,no,Yes
09/05/2014 13:32:50,"Java, Javascript, Python, Ruby, clojure",,"Clojure, Haskell",,yes,Yes
09/05/2014 13:53:58,"Java, Objective C",,"C#, Java",,no,Yes
09/05/2014 14:36:52,"C#, Vb.net","Vb6, c++, pascal","C#, Vb.net",,yes,Yes
09/05/2014 17:41:16,ABAP,everyone I did in college >< ,"Java, ABAP",,yes,Yes
09/05/2014 20:24:22,"C, Javascript, Python, Go",Perl,"C#, Javascript, Python, Php, Objective C",,yes,Yes
10/05/2014 02:17:08,Delphi,C#,"Java, Javascript, Python",,no,Yes
10/05/2014 17:50:50,Objective C,Java,"Javascript, Python, Php, Ruby, Coffeescript",,yes,Yes
10/05/2014 21:21:41,"C++, C#, Php, angelscript",basic assembly C,Php,,no,Yes
10/05/2014 22:08:38,C#,C,"Java, Python",,no,Yes
11/05/2014 13:48:26,"Java, Javascript",Ruby,C#,,yes,Yes
12/05/2014 10:59:35,"Javascript, Python, Php",C#,"Javascript, Python",,yes,Yes
12/05/2014 17:06:22,"C#, Python, Scala","Javascript, Java","C, Python, go, haxe",,yes,Yes